,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-02,39.96552658081055,1371.989990234375,,50.49599838256836,41.66999816894531,1371.989990234375,,50.49599838256836,42.23500061035156,1421.3599853515625,,52.066001892089844,41.11750030517578,1355.0,,48.917999267578125,41.65999984741211,1417.6199951171875,,51.25199890136719,150347200,10463600,,80570000
2018-04-03,40.375545501708984,1392.050048828125,,53.50600051879883,42.09749984741211,1392.050048828125,,53.50600051879883,42.1875,1414.0,,54.66999816894531,41.220001220703125,1355.3299560546875,,50.89799880981445,41.90999984741211,1391.3800048828125,,53.9640007019043,121112000,10231200,,94222000
2018-04-04,41.14761734008789,1410.5699462890625,,57.38800048828125,42.90250015258789,1410.5699462890625,,57.38800048828125,43.002498626708984,1415.3900146484375,,57.67399978637695,41.192501068115234,1352.8800048828125,,50.400001525878906,41.220001220703125,1358.239990234375,,50.555999755859375,138422000,6982300,,99483500
2018-04-05,41.43294906616211,1451.75,,61.14400100708008,43.20000076293945,1451.75,,61.14400100708008,43.557498931884766,1459.56005859375,,61.25199890136719,43.02000045776367,1427.0699462890625,,57.63999938964844,43.14500045776367,1441.989990234375,,57.86800003051758,107732800,6413500,,95605500
2018-04-06,40.37314987182617,1405.22998046875,,59.86000061035156,42.095001220703125,1405.22998046875,,59.86000061035156,43.119998931884766,1452.5,,61.85599899291992,42.04999923706055,1400.260009765625,,59.099998474121094,42.74250030517578,1429.969970703125,,60.20000076293945,140021200,5882300,,67601500
2018-04-09,40.77356719970703,1406.0799560546875,,57.93199920654297,42.51250076293945,1406.0799560546875,,57.93199920654297,43.272499084472656,1438.47998046875,,61.900001525878906,42.462501525878906,1402.5699462890625,,57.84199905395508,42.470001220703125,1425.030029296875,,60.07400131225586,116070800,4208200,,51249000
2018-04-10,41.54084396362305,1436.219970703125,,60.939998626708984,43.3125,1436.219970703125,,60.939998626708984,43.5,1438.3800048828125,,61.41999816894531,42.88249969482422,1415.699951171875,,58.736000061035156,43.25,1431.989990234375,,59.79399871826172,113634400,4254100,,54949000
2018-04-11,41.34663009643555,1427.050048828125,,60.18600082397461,43.11000061035156,1427.050048828125,,60.18600082397461,43.47999954223633,1448.780029296875,,61.79600143432617,42.92499923706055,1424.8900146484375,,59.93199920654297,43.057498931884766,1439.43994140625,,60.14799880981445,89726400,3582500,,37414500
