,Symbol,Market,Name,s_Name
0,060310,KOSDAQ,3S,3s
1,095570,KOSPI,AJ네트웍스,aj네트웍스
2,006840,KOSPI,AK홀딩스,ak홀딩스
3,054620,KOSDAQ,APS홀딩스,aps홀딩스
4,265520,KOSDAQ,AP시스템,ap시스템
5,211270,KOSDAQ,AP위성,ap위성
6,152100,KOSPI,ARIRANG 200,arirang 200
7,295820,KOSPI,ARIRANG 200동일가중,arirang 200동일가중
8,253150,KOSPI,ARIRANG 200선물레버리지,arirang 200선물레버리지
9,253160,KOSPI,ARIRANG 200선물인버스2X,arirang 200선물인버스2x
10,395750,KOSPI,ARIRANG ESG가치주액티브,arirang esg가치주액티브
11,395760,KOSPI,ARIRANG ESG성장주액티브,arirang esg성장주액티브
12,278420,KOSPI,ARIRANG ESG우수기업,arirang esg우수기업
13,292750,KOSPI,ARIRANG KRX300,arirang krx300
14,309210,KOSPI,ARIRANG KRX300헬스케어,arirang krx300헬스케어
15,333940,KOSPI,ARIRANG KS로우볼가중TR,arirang ks로우볼가중tr
16,333950,KOSPI,ARIRANG KS로우사이즈가중TR,arirang ks로우사이즈가중tr
17,333960,KOSPI,ARIRANG KS모멘텀가중TR,arirang ks모멘텀가중tr
18,333970,KOSPI,ARIRANG KS밸류가중TR,arirang ks밸류가중tr
19,333980,KOSPI,ARIRANG KS퀄리티가중TR,arirang ks퀄리티가중tr
20,269530,KOSPI,ARIRANG S&P글로벌인프라,arirang s&p글로벌인프라
21,421320,KOSPI,ARIRANG iSelect우주항공&UAM,arirang iselect우주항공&uam
22,251590,KOSPI,ARIRANG 고배당저변동50,arirang 고배당저변동50
23,161510,KOSPI,ARIRANG 고배당주,arirang 고배당주
24,251600,KOSPI,ARIRANG 고배당주채권혼합,arirang 고배당주채권혼합
25,289670,KOSPI,ARIRANG 국채선물10년,arirang 국채선물10년
26,298340,KOSPI,ARIRANG 국채선물3년,arirang 국채선물3년
27,189400,KOSPI,ARIRANG 글로벌MSCI(합성 H),arirang 글로벌msci(합성 h)
28,419650,KOSPI,ARIRANG 글로벌수소&차세대연료전지MV,arirang 글로벌수소&차세대연료전지mv
29,415920,KOSPI,ARIRANG 글로벌희토류전략자원기업MV,arirang 글로벌희토류전략자원기업mv
30,278620,KOSPI,ARIRANG 단기채권액티브,arirang 단기채권액티브
31,269540,KOSPI,ARIRANG 미국S&P500(H),arirang 미국s&p500(h)
32,287180,KOSPI,ARIRANG 미국나스닥테크,arirang 미국나스닥테크
33,213630,KOSPI,ARIRANG 미국다우존스고배당주(합성 H),arirang 미국다우존스고배당주(합성 h)
34,332610,KOSPI,ARIRANG 미국단기우량회사채,arirang 미국단기우량회사채
35,332620,KOSPI,ARIRANG 미국장기우량회사채,arirang 미국장기우량회사채
36,195970,KOSPI,ARIRANG 선진국MSCI(합성 H),arirang 선진국msci(합성 h)
37,238670,KOSPI,ARIRANG 스마트베타Quality채권혼합,arirang 스마트베타quality채권혼합
38,195980,KOSPI,ARIRANG 신흥국MSCI(합성 H),arirang 신흥국msci(합성 h)
39,373530,KOSPI,ARIRANG 신흥국MSCI인버스(합성 H),arirang 신흥국msci인버스(합성 h)
40,256450,KOSPI,ARIRANG 심천차이넥스트(합성),arirang 심천차이넥스트(합성)
41,239660,KOSPI,ARIRANG 우량회사채50 1년,arirang 우량회사채50 1년
42,280920,KOSPI,ARIRANG 주도업종,arirang 주도업종
