,등록일시,사망자,일일사망자,확진자,일일확진자,기준일,누적의심자,누적확진율
0,2020-03-10 00:00:00.000,54,0.0,7513,0.0,20200310,210144.0,3.919308057
1,2020-03-11 00:00:00.000,60,6.0,7755,242.0,20200311,222395.0,3.804174536
2,2020-03-12 00:00:00.000,66,6.0,7869,114.0,20200312,234998.0,3.621744273
3,2020-03-13 00:00:00.000,67,1.0,7979,110.0,20200313,248647.0,3.458499309
4,2020-03-14 00:00:00.000,72,5.0,8086,107.0,20200314,261335.0,3.318000336
5,2020-03-15 00:00:00.000,75,3.0,8162,76.0,20200315,268212.0,3.239660237
6,2020-03-16 00:00:00.000,75,0.0,8236,74.0,20200316,274504.0,3.173392208
7,2020-03-17 00:00:00.000,81,6.0,8320,84.0,20200317,286716.0,3.088057901
8,2020-03-18 00:00:00.000,84,3.0,8413,93.0,20200318,295647.0,3.012162506
9,2020-03-19 00:00:00.000,91,7.0,8565,152.0,20200319,307024.0,2.942085738
10,2020-03-20 00:00:00.000,94,3.0,8652,87.0,20200320,316664.0,2.873091828
11,2020-03-21 00:00:00.000,102,8.0,8799,147.0,20200321,327509.0,2.82195603
12,2020-03-22 00:00:00.000,104,2.0,8897,98.0,20200322,331780.0,2.804501324
13,2020-03-23 00:00:00.000,111,7.0,8961,64.0,20200323,338036.0,2.762262336
14,2020-03-24 00:00:00.000,120,9.0,9037,76.0,20200324,348582.0,2.712657065
15,2020-03-25 00:00:00.000,126,6.0,9137,100.0,20200325,357896.0,2.659057442
16,2020-03-26 00:00:00.000,131,5.0,9241,104.0,20200326,364942.0,2.635970254
17,2020-03-27 00:00:00.000,139,8.0,9332,91.0,20200327,376961.0,2.579739151
18,2020-03-28 00:00:00.000,144,5.0,9478,146.0,20200328,387925.0,2.552233541
19,2020-03-29 00:00:00.000,152,8.0,9583,105.0,20200329,394141.0,2.527742388
20,2020-03-30 00:00:00.000,158,6.0,9661,78.0,20200330,398902.0,2.506934876
21,2020-03-31 00:00:00.000,162,4.0,9786,125.0,20200331,410564.0,2.485825764
22,2020-04-01 00:00:00.000,165,3.0,9887,101.0,20200401,421547.0,2.441463644
23,2020-04-02 00:00:00.000,169,4.0,9976,89.0,20200402,431743.0,2.410488622
24,2020-04-03 00:00:00.000,174,5.0,10062,86.0,20200403,443273.0,2.371072072
25,2020-04-04 00:00:00.000,177,3.0,10156,94.0,20200404,455032.0,2.33531392
26,2020-04-05 00:00:00.000,183,6.0,10237,81.0,20200405,461233.0,2.317835811
27,2020-04-06 00:00:00.000,186,3.0,10284,47.0,20200406,466804.0,2.298054341
28,2020-04-07 00:00:00.000,192,6.0,10331,47.0,20200407,477304.0,2.262325524
29,2020-04-08 00:00:00.000,200,8.0,10384,53.0,20200408,486003.0,2.218116182
30,2020-04-09 00:00:00.000,204,4.0,10423,39.0,20200409,494711.0,2.175074395
31,2020-04-10 00:00:00.000,208,4.0,10450,27.0,20200410,503051.0,2.142477853
